Страна: Qatar     показатель экономики: 1.69042
Страна: Malaysia     показатель экономики: 1.12486
Страна: Kazakhstan     показатель экономики: 1.12254
Страна: Hungary     показатель экономики: 1.12094
Страна: Latvia     показатель экономики: 1.11312
Страна: Chile     показатель экономики: 1.10715
Страна: Croatia     показатель экономики: 1.08254
Страна: Panama     показатель экономики: 1.06353
Страна: Uruguay     показатель экономики: 1.06166
Страна: Turkey     показатель экономики: 1.06098
Страна: Gabon     показатель экономики: 1.06024
Страна: Argentina     показатель экономики: 1.05351
Страна: Venezuela     показатель экономики: 1.04424
Страна: Romania     показатель экономики: 1.04345
Страна: Belarus     показатель экономики: 1.03192
Страна: Lebanon     показатель экономики: 1.02564
Страна: Azerbaijan     показатель экономики: 1.02389
Страна: Mexico     показатель экономики: 1.02054
Страна: Bulgaria     показатель экономики: 1.01216
Страна: Iran     показатель экономики: 1.0088
Страна: Mauritius     показатель экономики: 1.00761
Страна: Suriname     показатель экономики: 0.99534
Страна: Botswana     показатель экономики: 0.99355
Страна: Iraq     показатель экономики: 0.98549
Страна: Brazil     показатель экономики: 0.98124
Страна: Montenegro     показатель экономики: 0.97438
Страна: Thailand     показатель экономики: 0.9669
Страна: Turkmenistan     показатель экономики: 0.95847
Страна: Costa Rica     показатель экономики: 0.95578
Страна: Algeria     показатель экономики: 0.93929
Страна: Serbia     показатель экономики: 0.92053
Страна: South Africa     показатель экономики: 0.92049
Страна: Colombia     показатель экономики: 0.91861
Страна: Macedonia     показатель экономики: 0.91851
Страна: Jordan     показатель экономики: 0.90198
Страна: Peru     показатель экономики: 0.90019
Страна: Dominican Republic     показатель экономики: 0.89537
Страна: China     показатель экономики: 0.89012
Страна: Egypt     показатель экономики: 0.8818
Страна: Tunisia     показатель экономики: 0.88113
Страна: Albania     показатель экономики: 0.87867
Страна: Ecuador     показатель экономики: 0.86402
Страна: Sri Lanka     показатель экономики: 0.83524
Страна: Bosnia and Herzegovina     показатель экономики: 0.83223
Страна: Indonesia     показатель экономики: 0.82827
Страна: Mongolia     показатель экономики: 0.82819
Страна: Jamaica     показатель экономики: 0.81038
Страна: Kosovo     показатель экономики: 0.80148
Страна: Ukraine     показатель экономики: 0.79907
Страна: Bhutan     показатель экономики: 0.77042
Страна: Armenia     показатель экономики: 0.76821
Страна: El Salvador     показатель экономики: 0.76454
Страна: Paraguay     показатель экономики: 0.75985
Страна: Angola     показатель экономики: 0.75778
Страна: Guatemala     показатель экономики: 0.74553
Страна: Georgia     показатель экономики: 0.7419
Страна: Morocco     показатель экономики: 0.73479
Страна: Swaziland     показатель экономики: 0.71206
Страна: Philippines     показатель экономики: 0.70532
Страна: Bolivia     показатель экономики: 0.68133
Страна: Congo (Brazzaville)     показатель экономики: 0.67866
Страна: Syria     показатель экономики: 0.6632
Страна: Nigeria     показатель экономики: 0.65435
Страна: India     показатель экономики: 0.64499
Страна: Uzbekistan     показатель экономики: 0.63244
Страна: Vietnam     показатель экономики: 0.63216
Страна: Palestinian Territories     показатель экономики: 0.59867
Страна: Pakistan     показатель экономики: 0.59543
Страна: Honduras     показатель экономики: 0.59532
Страна: Moldova     показатель экономики: 0.59448
Страна: Nicaragua     показатель экономики: 0.59325
Страна: Laos     показатель экономики: 0.59066
Страна: Yemen     показатель экономики: 0.54649
Страна: Ghana     показатель экономики: 0.54558
Страна: Sudan     показатель экономики: 0.52107
Страна: Kyrgyzstan     показатель экономики: 0.47428
Страна: Zambia     показатель экономики: 0.47038
Страна: Ivory Coast     показатель экономики: 0.46534
Страна: Cambodia     показатель экономики: 0.46038
Страна: Mauritania     показатель экономики: 0.45407
Страна: Djibouti     показатель экономики: 0.44025
Страна: Cameroon     показатель экономики: 0.4225
Страна: Bangladesh     показатель экономики: 0.39753
Страна: Tajikistan     показатель экономики: 0.39047
Страна: Lesotho     показатель экономики: 0.37545
Страна: Senegal     показатель экономики: 0.36498
Страна: Kenya     показатель экономики: 0.36471
Страна: Nepal     показатель экономики: 0.35997
Страна: Chad     показатель экономики: 0.34193
Страна: Sierra Leone     показатель экономики: 0.33024
Страна: Afghanistan     показатель экономики: 0.31982
Страна: Benin     показатель экономики: 0.28665
Страна: Tanzania     показатель экономики: 0.2852
Страна: Myanmar     показатель экономики: 0.27108
Страна: Zimbabwe     показатель экономики: 0.271
Страна: Haiti     показатель экономики: 0.26673
Страна: Mali     показатель экономики: 0.26074
Страна: Burkina Faso     показатель экономики: 0.25812
Страна: Comoros     показатель экономики: 0.23906
Страна: Rwanda     показатель экономики: 0.22208
Страна: Uganda     показатель экономики: 0.21102
Страна: Togo     показатель экономики: 0.20868
Страна: Madagascar     показатель экономики: 0.20824
Страна: Ethiopia     показатель экономики: 0.19073
Страна: Somaliland region     показатель экономики: 0.18847
Страна: Guinea     показатель экономики: 0.17417
Страна: Mozambique     показатель экономики: 0.08308
Страна: Central African Republic     показатель экономики: 0.0785
Страна: Liberia     показатель экономики: 0.0712
Страна: Niger     показатель экономики: 0.0694
Страна: Malawi     показатель экономики: 0.01604
Страна: Burundi     показатель экономики: 0.0153
Страна: Congo (Kinshasa)     показатель экономики: 0.0
